"species_lump","present_below_south","present_within_buffer","present_above_north","present_observations_site","total_observations","sites_in_buffer","sites_present","total_sites","total_counts","percent_years_present","range_edge_category","range_lat","id"
"Sertularella/Sertularia spp",TRUE,FALSE,TRUE,0,242,7,0,103,4,0,"Avoidant","36.64-37.14",8
"Silvetia compressa",TRUE,TRUE,TRUE,14,242,7,6,103,6522,36.3636363636364,"Continuous Presence","36.64-37.14",8
"Siphonaria brannani",FALSE,FALSE,FALSE,0,313,7,0,108,0,0,"Absent","36.64-37.14",8
"Siphonaria thersites",FALSE,FALSE,FALSE,0,313,7,0,108,0,0,"Absent","36.64-37.14",8
"Sorella delicatula",FALSE,FALSE,FALSE,0,242,7,0,103,0,0,"Absent","36.64-37.14",8
"Sphacelaria californica",TRUE,FALSE,FALSE,0,242,7,0,103,12,0,"Southern Only Presence","36.64-37.14",8
"Spirobranchus spinosus",TRUE,FALSE,FALSE,0,242,7,0,103,2,0,"Southern Only Presence","36.64-37.14",8
"Spirorbis spp",TRUE,TRUE,TRUE,2,242,7,2,103,124,9.09090909090909,"Continuous Presence","36.64-37.14",8
"Spyridia filamentosa",TRUE,FALSE,FALSE,0,242,7,0,103,72,0,"Southern Only Presence","36.64-37.14",8
"Stenoplax conspicua",TRUE,FALSE,FALSE,0,313,7,0,108,34,0,"Southern Only Presence","36.64-37.14",8
"Stephanocystis dioica",TRUE,FALSE,TRUE,0,242,7,0,103,422,0,"Avoidant","36.64-37.14",8
"Stephanocystis osmundacea",TRUE,FALSE,TRUE,0,242,7,0,103,428,0,"Avoidant","36.64-37.14",8
"Strongylocentrotus droebachiensis",FALSE,FALSE,FALSE,0,313,7,0,108,0,0,"Absent","36.64-37.14",8
"Strongylocentrotus franciscanus",TRUE,FALSE,TRUE,0,313,7,0,108,25,0,"Avoidant","36.64-37.14",8
"Strongylocentrotus purpuratus",TRUE,TRUE,TRUE,16,313,7,5,108,11680,50,"Continuous Presence","36.64-37.14",8
"Styela montereyensis",TRUE,TRUE,TRUE,1,242,7,1,103,6,4.54545454545455,"Continuous Presence","36.64-37.14",8
"Symphyocladia dendroidea/Xiphosiphonia pennata",TRUE,TRUE,TRUE,5,242,7,3,103,343,22.7272727272727,"Continuous Presence","36.64-37.14",8
"Symphyocladiella baileyi",TRUE,FALSE,FALSE,0,242,7,0,103,48,0,"Southern Only Presence","36.64-37.14",8
"Taonia lennebackerae",TRUE,FALSE,FALSE,0,242,7,0,103,20,0,"Southern Only Presence","36.64-37.14",8
"Tectura paleacea",TRUE,TRUE,TRUE,1,313,7,1,108,202,4.16666666666667,"Continuous Presence","36.64-37.14",8
"Tegula aureotincta",TRUE,FALSE,FALSE,0,313,7,0,108,178,0,"Southern Only Presence","36.64-37.14",8
"Tegula brunnea",TRUE,TRUE,TRUE,10,313,7,4,108,1356,37.5,"Continuous Presence","36.64-37.14",8
"Tegula eiseni",TRUE,FALSE,FALSE,0,313,7,0,108,1955,0,"Southern Only Presence","36.64-37.14",8
"Tegula funebralis/gallina",TRUE,TRUE,TRUE,23,313,7,7,108,83091,50,"Continuous Presence","36.64-37.14",8
"Tegula pulligo",FALSE,FALSE,FALSE,0,313,7,0,108,0,0,"Absent","36.64-37.14",8
"Tetraclita squamosa",TRUE,TRUE,TRUE,3,242,7,3,103,1055,13.6363636363636,"Continuous Presence","36.64-37.14",8
"Thylacodes squamigerus",TRUE,FALSE,TRUE,0,242,7,0,103,152,0,"Avoidant","36.64-37.14",8
"Tiffaniella snyderae",TRUE,FALSE,TRUE,0,242,7,0,103,206,0,"Avoidant","36.64-37.14",8
"Tonicella spp",TRUE,TRUE,TRUE,4,313,7,4,108,905,16.6666666666667,"Continuous Presence","36.64-37.14",8
"Trichotropis cancellata",FALSE,FALSE,FALSE,0,313,7,0,108,0,0,"Absent","36.64-37.14",8
"Ulothrix spp",TRUE,FALSE,TRUE,0,242,7,0,103,15,0,"Avoidant","36.64-37.14",8
"Ulvophyceae",TRUE,TRUE,TRUE,14,242,7,7,103,5252,36.3636363636364,"Continuous Presence","36.64-37.14",8
"Urosalpinx subangulata",FALSE,TRUE,TRUE,2,313,7,1,108,15,8.33333333333333,"Southern Range Edge","36.64-37.14",8
"Urospora spp",TRUE,FALSE,FALSE,0,242,7,0,103,1,0,"Southern Only Presence","36.64-37.14",8
"Urticina coriacea",FALSE,FALSE,TRUE,0,242,7,0,103,7,0,"Northern Only Presence","36.64-37.14",8
"Verrucaria maura",FALSE,FALSE,FALSE,0,242,7,0,103,0,0,"Absent","36.64-37.14",8
"Xingyurella turgida",FALSE,TRUE,FALSE,1,242,7,1,103,1,4.54545454545455,"Endemic Presence","36.64-37.14",8
"Zonaria farlowii",TRUE,FALSE,FALSE,0,242,7,0,103,81,0,"Southern Only Presence","36.64-37.14",8
"Zostera spp",FALSE,FALSE,FALSE,0,242,7,0,103,0,0,"Absent","36.64-37.14",8
"Abietinaria/Amphisbetia spp",TRUE,FALSE,TRUE,0,242,2,0,103,9,0,"Avoidant","37.14-37.89",9
"Acanthinucella paucilirata",TRUE,FALSE,FALSE,0,313,2,0,108,4,0,"Southern Only Presence","37.14-37.89",9
"Acanthinucella spp",TRUE,TRUE,TRUE,7,313,2,2,108,2214,25,"Continuous Presence","37.14-37.89",9
"Acmaea mitra",TRUE,TRUE,TRUE,2,313,2,1,108,141,8.33333333333333,"Continuous Presence","37.14-37.89",9
"Acrosiphonia/Cladophora spp",TRUE,FALSE,TRUE,0,242,2,0,103,175,0,"Avoidant","37.14-37.89",9
"Acrosorium ciliolatum",TRUE,FALSE,FALSE,0,242,2,0,103,143,0,"Southern Only Presence","37.14-37.89",9
"Aeolidia papillosa",TRUE,TRUE,TRUE,1,313,2,1,108,3,4.16666666666667,"Continuous Presence","37.14-37.89",9
"Aglaophenia spp",TRUE,FALSE,TRUE,0,242,2,0,103,18,0,"Avoidant","37.14-37.89",9
"Ahnfeltia fastigiata",TRUE,FALSE,TRUE,0,242,2,0,103,117,0,"Avoidant","37.14-37.89",9
"Ahnfeltiopsis linearis",TRUE,FALSE,TRUE,0,242,2,0,103,56,0,"Avoidant","37.14-37.89",9
"Alaria marginata",TRUE,FALSE,TRUE,0,242,2,0,103,1018,0,"Avoidant","37.14-37.89",9
"Alia spp",TRUE,TRUE,TRUE,8,313,2,2,108,1445,25,"Continuous Presence","37.14-37.89",9
"Amphiroa beauvoisii",TRUE,FALSE,FALSE,0,242,2,0,103,2,0,"Southern Only Presence","37.14-37.89",9
"Amphissa columbiana",TRUE,TRUE,TRUE,2,313,2,2,108,31,8.33333333333333,"Continuous Presence","37.14-37.89",9
"Amphissa versicolor",TRUE,TRUE,TRUE,4,313,2,2,108,299,12.5,"Continuous Presence","37.14-37.89",9
"Analipus japonicus",TRUE,TRUE,TRUE,2,242,2,1,103,379,9.09090909090909,"Continuous Presence","37.14-37.89",9
"Anisocladella pacifica",TRUE,FALSE,FALSE,0,242,2,0,103,4,0,"Southern Only Presence","37.14-37.89",9
"Anthopleura artemisia",FALSE,TRUE,TRUE,1,242,2,1,103,3,4.54545454545455,"Southern Range Edge","37.14-37.89",9
"Anthopleura elegantissima",TRUE,TRUE,TRUE,5,242,2,2,103,5148,18.1818181818182,"Continuous Presence","37.14-37.89",9
"Anthopleura sola",TRUE,TRUE,TRUE,6,242,2,2,103,2460,18.1818181818182,"Continuous Presence","37.14-37.89",9
"Anthopleura xanthogrammica",TRUE,TRUE,TRUE,5,242,2,2,103,791,13.6363636363636,"Continuous Presence","37.14-37.89",9
"Antithamnionella spp",FALSE,FALSE,FALSE,0,242,2,0,103,0,0,"Absent","37.14-37.89",9
"Aplidium spp",TRUE,TRUE,TRUE,3,242,2,1,103,73,13.6363636363636,"Continuous Presence","37.14-37.89",9
"Aplysia californica",TRUE,FALSE,FALSE,0,313,2,0,108,11,0,"Southern Only Presence","37.14-37.89",9
"Asparagopsis taxiformis",TRUE,FALSE,FALSE,0,242,2,0,103,97,0,"Southern Only Presence","37.14-37.89",9
"Atrimitra idae",FALSE,FALSE,FALSE,0,313,2,0,108,0,0,"Absent","37.14-37.89",9
"Balanus crenatus",FALSE,FALSE,TRUE,0,242,2,0,103,1,0,"Northern Only Presence","37.14-37.89",9
"Balanus glandula",TRUE,TRUE,TRUE,4,242,2,2,103,5046,13.6363636363636,"Continuous Presence","37.14-37.89",9
"Balanus glandula/Semibalanus balanoides",FALSE,FALSE,FALSE,0,242,2,0,103,0,0,"Absent","37.14-37.89",9
"Balanus nubilus",TRUE,FALSE,TRUE,0,242,2,0,103,6,0,"Avoidant","37.14-37.89",9
"Bangia spp",TRUE,FALSE,TRUE,0,242,2,0,103,63,0,"Avoidant","37.14-37.89",9
"Besa leptophylla",TRUE,TRUE,TRUE,1,242,2,1,103,41,4.54545454545455,"Continuous Presence","37.14-37.89",9
"Bittium eschrichtii",TRUE,TRUE,TRUE,5,313,2,2,108,898,20.8333333333333,"Continuous Presence","37.14-37.89",9
"Boring clam",TRUE,FALSE,TRUE,0,242,2,0,103,12,0,"Avoidant","37.14-37.89",9
"Bossiella spp",TRUE,TRUE,TRUE,6,242,2,2,103,1442,18.1818181818182,"Continuous Presence","37.14-37.89",9
"Bryopsis spp",TRUE,FALSE,TRUE,0,242,2,0,103,12,0,"Avoidant","37.14-37.89",9
"Bugula neritina",TRUE,FALSE,FALSE,0,242,2,0,103,18,0,"Southern Only Presence","37.14-37.89",9
"Californiconus californicus",TRUE,TRUE,TRUE,1,313,2,1,108,217,4.16666666666667,"Continuous Presence","37.14-37.89",9
"Calliarthron spp",TRUE,TRUE,TRUE,6,242,2,2,103,1229,18.1818181818182,"Continuous Presence","37.14-37.89",9
"Calliostoma annulatum",TRUE,FALSE,FALSE,0,313,2,0,108,5,0,"Southern Only Presence","37.14-37.89",9
"Calliostoma canaliculatum",TRUE,FALSE,FALSE,0,313,2,0,108,25,0,"Southern Only Presence","37.14-37.89",9
"Calliostoma ligatum",TRUE,TRUE,TRUE,1,313,2,1,108,90,4.16666666666667,"Continuous Presence","37.14-37.89",9
"Calliostoma supragranosum",TRUE,FALSE,FALSE,0,313,2,0,108,1,0,"Southern Only Presence","37.14-37.89",9
"Callithamnion pikeanum",TRUE,TRUE,TRUE,3,242,2,2,103,330,9.09090909090909,"Continuous Presence","37.14-37.89",9
"Callithamnion rupicola",TRUE,FALSE,FALSE,0,242,2,0,103,2,0,"Southern Only Presence","37.14-37.89",9
"Callophyllis spp",TRUE,TRUE,TRUE,3,242,2,2,103,68,13.6363636363636,"Continuous Presence","37.14-37.89",9
"Cancer antennaria",TRUE,TRUE,TRUE,1,313,2,1,108,55,4.16666666666667,"Continuous Presence","37.14-37.89",9
"Cancer oregonensis",TRUE,FALSE,TRUE,0,313,2,0,108,3,0,"Avoidant","37.14-37.89",9
"Cancer productus",FALSE,FALSE,TRUE,0,313,2,0,108,1,0,"Northern Only Presence","37.14-37.89",9
"Carpopeltis bushiae",FALSE,FALSE,FALSE,0,242,2,0,103,0,0,"Absent","37.14-37.89",9
"Caulacanthus okamurae",TRUE,FALSE,TRUE,0,242,2,0,103,1831,0,"Avoidant","37.14-37.89",9
"Ceratostoma foliatum",TRUE,FALSE,TRUE,0,313,2,0,108,5,0,"Avoidant","37.14-37.89",9
"Ceratostoma nuttalli",TRUE,TRUE,TRUE,1,313,2,1,108,46,4.16666666666667,"Continuous Presence","37.14-37.89",9
"Cerithiopsis spp",TRUE,FALSE,FALSE,0,313,2,0,108,2,0,"Southern Only Presence","37.14-37.89",9
"Chaetomorpha spp",TRUE,FALSE,TRUE,0,242,2,0,103,148,0,"Avoidant","37.14-37.89",9
"Chondracanthus canaliculatus",TRUE,TRUE,TRUE,6,242,2,2,103,5926,18.1818181818182,"Continuous Presence","37.14-37.89",9
"Chondracanthus corymbiferus/exaspertata",TRUE,TRUE,TRUE,1,242,2,1,103,74,4.54545454545455,"Continuous Presence","37.14-37.89",9
"Chondracanthus harveyanus",TRUE,FALSE,FALSE,0,242,2,0,103,5,0,"Southern Only Presence","37.14-37.89",9
"Chondracanthus spinosus",TRUE,TRUE,TRUE,2,242,2,1,103,42,9.09090909090909,"Continuous Presence","37.14-37.89",9
"Chondria acrorhizophora",TRUE,FALSE,FALSE,0,242,2,0,103,21,0,"Southern Only Presence","37.14-37.89",9
"Chondria arcuata",TRUE,FALSE,FALSE,0,242,2,0,103,16,0,"Southern Only Presence","37.14-37.89",9
"Chondria dasyphylla",TRUE,FALSE,FALSE,0,242,2,0,103,16,0,"Southern Only Presence","37.14-37.89",9
"Chondria decipiens",TRUE,FALSE,FALSE,0,242,2,0,103,25,0,"Southern Only Presence","37.14-37.89",9
"Chondria nidifica",TRUE,FALSE,FALSE,0,242,2,0,103,157,0,"Southern Only Presence","37.14-37.89",9
"Chondria oppositiclada",TRUE,FALSE,FALSE,0,242,2,0,103,23,0,"Southern Only Presence","37.14-37.89",9
"Chone minuta",TRUE,FALSE,TRUE,0,242,2,0,103,88,0,"Avoidant","37.14-37.89",9
"Chthamalus dalli/fissus",TRUE,TRUE,TRUE,6,242,2,2,103,17343,18.1818181818182,"Continuous Presence","37.14-37.89",9
"Cirolana spp/Gnorimosphaeroma oregonense",TRUE,FALSE,TRUE,0,313,2,0,108,82,0,"Avoidant","37.14-37.89",9
"Cladophora columbiana",TRUE,TRUE,TRUE,6,242,2,2,103,1559,18.1818181818182,"Continuous Presence","37.14-37.89",9
"Cladophora graminea",TRUE,FALSE,FALSE,0,242,2,0,103,6,0,"Southern Only Presence","37.14-37.89",9
"Clavelina huntsmani",TRUE,FALSE,FALSE,0,242,2,0,103,4,0,"Southern Only Presence","37.14-37.89",9
"Codium fragile",TRUE,FALSE,TRUE,0,242,2,0,103,51,0,"Avoidant","37.14-37.89",9
"Codium setchellii",TRUE,FALSE,TRUE,0,242,2,0,103,19,0,"Avoidant","37.14-37.89",9
"Colonial diatom",TRUE,FALSE,TRUE,0,242,2,0,103,75,0,"Avoidant","37.14-37.89",9
"Colpomenia/Leathesia spp",TRUE,FALSE,TRUE,0,242,2,0,103,184,0,"Avoidant","37.14-37.89",9
"Constantinea simplex",TRUE,FALSE,TRUE,0,242,2,0,103,109,0,"Avoidant","37.14-37.89",9
"Corallina spp",TRUE,TRUE,TRUE,6,242,2,2,103,18213,18.1818181818182,"Continuous Presence","37.14-37.89",9
"Corynactis californica",FALSE,FALSE,FALSE,0,242,2,0,103,0,0,"Absent","37.14-37.89",9
"Costaria costata",FALSE,FALSE,TRUE,0,242,2,0,103,93,0,"Northern Only Presence","37.14-37.89",9
"Crangon spp",TRUE,TRUE,FALSE,1,313,2,1,108,10,4.16666666666667,"Northern Range Edge","37.14-37.89",9
"Crepipatella lingulata",TRUE,FALSE,TRUE,0,313,2,0,108,11,0,"Avoidant","37.14-37.89",9
"Cryptochiton stelleri",TRUE,FALSE,TRUE,0,391,2,0,108,236,0,"Avoidant","37.14-37.89",9
"Cryptolithodes sitchensis",TRUE,FALSE,FALSE,0,313,2,0,108,5,0,"Southern Only Presence","37.14-37.89",9
"Cryptopleura/Hymenena spp",TRUE,TRUE,TRUE,6,242,2,2,103,3622,18.1818181818182,"Continuous Presence","37.14-37.89",9
"Cryptosiphonia woodii",TRUE,TRUE,TRUE,4,242,2,2,103,922,9.09090909090909,"Continuous Presence","37.14-37.89",9
"Cucumaria miniata",FALSE,FALSE,FALSE,0,313,2,0,108,0,0,"Absent","37.14-37.89",9
"Cucumaria/Pseudocnus spp",TRUE,FALSE,TRUE,0,313,2,0,108,573,0,"Avoidant","37.14-37.89",9
"Cumagloia andersonii",TRUE,FALSE,TRUE,0,242,2,0,103,25,0,"Avoidant","37.14-37.89",9
"Cyanoplax hartwegii",TRUE,TRUE,TRUE,4,313,2,2,108,1890,16.6666666666667,"Continuous Presence","37.14-37.89",9
"Cyanoplax spp",TRUE,TRUE,TRUE,8,313,2,2,108,1882,25,"Continuous Presence","37.14-37.89",9
"Dasya binghamiae",TRUE,FALSE,FALSE,0,242,2,0,103,18,0,"Southern Only Presence","37.14-37.89",9
"Dasysiphonia japonica",TRUE,FALSE,FALSE,0,242,2,0,103,1,0,"Southern Only Presence","37.14-37.89",9
"Delesseria decipiens",FALSE,FALSE,TRUE,0,242,2,0,103,5,0,"Northern Only Presence","37.14-37.89",9
"Dendrobeania lichenoides",FALSE,FALSE,FALSE,0,242,2,0,103,0,0,"Absent","37.14-37.89",9
"Dendronotus subramosus",FALSE,TRUE,FALSE,1,313,2,1,108,1,4.16666666666667,"Endemic Presence","37.14-37.89",9
"Dendropoma lituella",FALSE,FALSE,FALSE,0,242,2,0,103,0,0,"Absent","37.14-37.89",9
"Derbesia marina",TRUE,FALSE,TRUE,0,242,2,0,103,12,0,"Avoidant","37.14-37.89",9
"Dermasterias imbricata",TRUE,TRUE,TRUE,9,391,2,2,108,683,30.4347826086957,"Continuous Presence","37.14-37.89",9
"Desmarestia ligulata",TRUE,FALSE,TRUE,0,242,2,0,103,121,0,"Avoidant","37.14-37.89",9
"Diaperoecia californica",FALSE,FALSE,FALSE,0,242,2,0,103,0,0,"Absent","37.14-37.89",9
"Diaulula sandiegensis",TRUE,FALSE,TRUE,0,313,2,0,108,12,0,"Avoidant","37.14-37.89",9
"Dictyoneurum californicum",FALSE,TRUE,TRUE,1,242,2,1,103,12,4.54545454545455,"Southern Range Edge","37.14-37.89",9
"Dictyopteris undulata",TRUE,FALSE,FALSE,0,242,2,0,103,22,0,"Southern Only Presence","37.14-37.89",9
"Dictyota binghamiae",TRUE,FALSE,FALSE,0,242,2,0,103,4,0,"Southern Only Presence","37.14-37.89",9
"Dictyota coriacea",TRUE,FALSE,FALSE,0,242,2,0,103,138,0,"Southern Only Presence","37.14-37.89",9
"Dilsea californica",TRUE,FALSE,TRUE,0,242,2,0,103,447,0,"Avoidant","37.14-37.89",9
"Diodora aspera",TRUE,FALSE,TRUE,0,313,2,0,108,11,0,"Avoidant","37.14-37.89",9
"Dirona albolineata",FALSE,FALSE,TRUE,0,313,2,0,108,2,0,"Northern Only Presence","37.14-37.89",9
"Discurria insessa",TRUE,FALSE,TRUE,0,313,2,0,108,120,0,"Avoidant","37.14-37.89",9
"Distaplia occidentalis",TRUE,TRUE,TRUE,1,242,2,1,103,9,4.54545454545455,"Continuous Presence","37.14-37.89",9
"Dodecaceria spp",TRUE,TRUE,TRUE,3,242,2,1,103,239,13.6363636363636,"Continuous Presence","37.14-37.89",9
"Doris montereyensis",FALSE,TRUE,TRUE,1,313,2,1,108,3,4.16666666666667,"Southern Range Edge","37.14-37.89",9
"Ectocarpus spp",TRUE,FALSE,FALSE,0,242,2,0,103,2,0,"Southern Only Presence","37.14-37.89",9
"Egregia menziesii",TRUE,TRUE,TRUE,3,242,2,2,103,5494,9.09090909090909,"Continuous Presence","37.14-37.89",9
"Eisenia arborea",TRUE,FALSE,TRUE,0,242,2,0,103,141,0,"Avoidant","37.14-37.89",9
"Encrusting coralline",TRUE,TRUE,TRUE,6,242,2,2,103,8084,18.1818181818182,"Continuous Presence","37.14-37.89",9
"Endarachne/Petalonia/Phaeostrophion spp",TRUE,FALSE,TRUE,0,242,2,0,103,381,0,"Avoidant","37.14-37.89",9
"Endocladia muricata",TRUE,TRUE,TRUE,6,242,2,2,103,14318,18.1818181818182,"Continuous Presence","37.14-37.89",9
"Endoplura aurea",FALSE,FALSE,FALSE,0,242,2,0,103,0,0,"Absent","37.14-37.89",9
"Epiactis prolifera",FALSE,TRUE,TRUE,2,242,2,1,103,5,9.09090909090909,"Southern Range Edge","37.14-37.89",9
"Epitonium tinctum",TRUE,TRUE,TRUE,6,313,2,2,108,388,16.6666666666667,"Continuous Presence","37.14-37.89",9
"Erythroglossum californicum",TRUE,FALSE,TRUE,0,242,2,0,103,48,0,"Avoidant","37.14-37.89",9
"Erythrophyllum delesserioides",TRUE,TRUE,TRUE,1,242,2,1,103,222,4.54545454545455,"Continuous Presence","37.14-37.89",9
"Eudendrium californicum",TRUE,FALSE,TRUE,0,242,2,0,103,2,0,"Avoidant","37.14-37.89",9
"Eudistoma psammion",TRUE,FALSE,FALSE,0,242,2,0,103,45,0,"Southern Only Presence","37.14-37.89",9
"Eudistoma ritteri",TRUE,FALSE,TRUE,0,242,2,0,103,4,0,"Avoidant","37.14-37.89",9
"Eudistylia polymorpha",FALSE,FALSE,FALSE,0,242,2,0,103,0,0,"Absent","37.14-37.89",9
"Eupentacta spp",FALSE,FALSE,TRUE,0,313,2,0,108,11,0,"Northern Only Presence","37.14-37.89",9
"Eurystomella bilabiata",TRUE,TRUE,TRUE,1,242,2,1,103,29,4.54545454545455,"Continuous Presence","37.14-37.89",9
"Evasterias troschelii",FALSE,FALSE,FALSE,0,391,2,0,108,0,0,"Absent","37.14-37.89",9
"Farlowia compressa",FALSE,TRUE,TRUE,1,242,2,1,103,3,4.54545454545455,"Southern Range Edge","37.14-37.89",9
"Farlowia mollis",TRUE,TRUE,TRUE,1,242,2,1,103,17,4.54545454545455,"Continuous Presence","37.14-37.89",9
"Farlowia/Pikea spp",TRUE,TRUE,TRUE,3,242,2,2,103,93,13.6363636363636,"Continuous Presence","37.14-37.89",9
"Fissurella volcano",TRUE,FALSE,FALSE,0,313,2,0,108,4909,0,"Southern Only Presence","37.14-37.89",9
"Fissurellidea bimaculata",TRUE,FALSE,FALSE,0,313,2,0,108,5,0,"Southern Only Presence","37.14-37.89",9
"Flustrellidra corniculata",TRUE,FALSE,TRUE,0,242,2,0,103,4,0,"Avoidant","37.14-37.89",9
"Fredericqia chiton",TRUE,FALSE,FALSE,0,242,2,0,103,1,0,"Southern Only Presence","37.14-37.89",9
"Fucus spp",TRUE,TRUE,TRUE,6,242,2,2,103,3137,18.1818181818182,"Continuous Presence","37.14-37.89",9
"Gastroclonium parvum",TRUE,FALSE,FALSE,0,242,2,0,103,162,0,"Southern Only Presence","37.14-37.89",9
"Gelidium purpurascens",TRUE,TRUE,FALSE,2,242,2,2,103,43,9.09090909090909,"Northern Range Edge","37.14-37.89",9
"Gelidium robustum",TRUE,FALSE,TRUE,0,242,2,0,103,128,0,"Avoidant","37.14-37.89",9
"Gelidium spp",TRUE,TRUE,TRUE,6,242,2,2,103,4262,18.1818181818182,"Continuous Presence","37.14-37.89",9
"Gloiopeltis furcata",TRUE,FALSE,TRUE,0,242,2,0,103,69,0,"Avoidant","37.14-37.89",9
"Gloiosiphonia californica",FALSE,FALSE,TRUE,0,242,2,0,103,4,0,"Northern Only Presence","37.14-37.89",9
"Gracilariopsis/Gracilaria spp",TRUE,FALSE,FALSE,0,242,2,0,103,423,0,"Southern Only Presence","37.14-37.89",9
"Grateloupia angusta",TRUE,FALSE,FALSE,0,242,2,0,103,2,0,"Southern Only Presence","37.14-37.89",9
"Grateloupia californica",TRUE,TRUE,TRUE,2,242,2,1,103,139,9.09090909090909,"Continuous Presence","37.14-37.89",9
"Grateloupia cornea",TRUE,FALSE,FALSE,0,242,2,0,103,4,0,"Southern Only Presence","37.14-37.89",9
"Halichondria panicea",TRUE,FALSE,TRUE,0,242,2,0,103,5,0,"Avoidant","37.14-37.89",9
"Halichondria spp",TRUE,TRUE,TRUE,1,242,2,1,103,57,4.54545454545455,"Continuous Presence","37.14-37.89",9
"Haliclona spp",TRUE,TRUE,TRUE,1,242,2,1,103,60,4.54545454545455,"Continuous Presence","37.14-37.89",9
"Halosaccion glandiforme",TRUE,TRUE,TRUE,3,242,2,1,103,769,13.6363636363636,"Continuous Presence","37.14-37.89",9
"Halymenia/Schizymenia spp",TRUE,FALSE,TRUE,0,242,2,0,103,221,0,"Avoidant","37.14-37.89",9
"Haminoea vesicula",TRUE,FALSE,FALSE,0,313,2,0,108,13,0,"Southern Only Presence","37.14-37.89",9
"Haminoea virescens",TRUE,FALSE,FALSE,0,313,2,0,108,12,0,"Southern Only Presence","37.14-37.89",9
"Hapalospongidion gelatinosum",FALSE,FALSE,FALSE,0,242,2,0,103,0,0,"Absent","37.14-37.89",9
"Haplogloia andersonii",TRUE,FALSE,TRUE,0,242,2,0,103,11,0,"Avoidant","37.14-37.89",9
"Hapterophycus canaliculatus",TRUE,FALSE,TRUE,0,242,2,0,103,93,0,"Avoidant","37.14-37.89",9
"Hedophyllum sessile",FALSE,FALSE,TRUE,0,242,2,0,103,720,0,"Northern Only Presence","37.14-37.89",9
"Heliaster kubiniji",FALSE,FALSE,FALSE,0,391,2,0,108,0,0,"Absent","37.14-37.89",9
"Hemigrapsus nudus",TRUE,FALSE,TRUE,0,313,2,0,108,66,0,"Avoidant","37.14-37.89",9
"Hemigrapsus oregonensis",FALSE,FALSE,TRUE,0,313,2,0,108,1,0,"Northern Only Presence","37.14-37.89",9
"Henricia spp",TRUE,TRUE,TRUE,4,391,2,2,108,446,17.3913043478261,"Continuous Presence","37.14-37.89",9
"Hermissenda crassicornis",TRUE,TRUE,TRUE,1,313,2,1,108,32,4.16666666666667,"Continuous Presence","37.14-37.89",9
"Herposiphonia littoralis",TRUE,FALSE,FALSE,0,242,2,0,103,9,0,"Southern Only Presence","37.14-37.89",9
"Herposiphonia plumula",FALSE,FALSE,FALSE,0,242,2,0,103,0,0,"Absent","37.14-37.89",9
"Herposiphonia verticillata",TRUE,FALSE,FALSE,0,242,2,0,103,15,0,"Southern Only Presence","37.14-37.89",9
"Homalopoma spp",TRUE,TRUE,TRUE,4,313,2,2,108,191,12.5,"Continuous Presence","37.14-37.89",9
"Hypnea johnstonii",TRUE,FALSE,FALSE,0,242,2,0,103,12,0,"Southern Only Presence","37.14-37.89",9
"Hypnea valentiae",TRUE,FALSE,FALSE,0,242,2,0,103,164,0,"Southern Only Presence","37.14-37.89",9
"Hypnea variabilis",TRUE,FALSE,FALSE,0,242,2,0,103,5,0,"Southern Only Presence","37.14-37.89",9
"Idotea spp",TRUE,TRUE,TRUE,4,313,2,2,108,837,16.6666666666667,"Continuous Presence","37.14-37.89",9
"Jania rosea",TRUE,FALSE,FALSE,0,242,2,0,103,88,0,"Southern Only Presence","37.14-37.89",9
"Jania tenella",TRUE,FALSE,FALSE,0,242,2,0,103,13,0,"Southern Only Presence","37.14-37.89",9
"Jania verrucosa",TRUE,FALSE,FALSE,0,242,2,0,103,531,0,"Southern Only Presence","37.14-37.89",9
"Johansenia macmillanii",TRUE,FALSE,TRUE,0,242,2,0,103,4,0,"Avoidant","37.14-37.89",9
"Katharina tunicata",TRUE,FALSE,TRUE,0,313,2,0,108,555,0,"Avoidant","37.14-37.89",9
"Kelletia kelletii",TRUE,FALSE,FALSE,0,313,2,0,108,9,0,"Southern Only Presence","37.14-37.89",9
"Lacuna spp",TRUE,TRUE,TRUE,8,313,2,2,108,18119,25,"Continuous Presence","37.14-37.89",9
"Laminaria ephemera",FALSE,FALSE,TRUE,0,242,2,0,103,4,0,"Northern Only Presence","37.14-37.89",9
"Laminaria farlowii",TRUE,FALSE,FALSE,0,242,2,0,103,1,0,"Southern Only Presence","37.14-37.89",9
"Laminaria setchellii",TRUE,FALSE,TRUE,0,242,2,0,103,553,0,"Avoidant","37.14-37.89",9
"Laminaria sinclairii",TRUE,FALSE,TRUE,0,242,2,0,103,252,0,"Avoidant","37.14-37.89",9
"Laurencia pacifica/masonii",TRUE,FALSE,FALSE,0,242,2,0,103,462,0,"Southern Only Presence","37.14-37.89",9
"Laurencia spp",TRUE,FALSE,FALSE,0,242,2,0,103,15,0,"Southern Only Presence","37.14-37.89",9
"Lepidozona spp",TRUE,TRUE,TRUE,2,313,2,1,108,127,8.33333333333333,"Continuous Presence","37.14-37.89",9
"Leptasterias spp",TRUE,TRUE,TRUE,7,313,2,2,108,1995,16.6666666666667,"Continuous Presence","37.14-37.89",9
"Lessoniopsis littoralis",TRUE,FALSE,TRUE,0,242,2,0,103,10,0,"Avoidant","37.14-37.89",9
